current_temperature,target_temperature,humidity,heater_speed
24.38,26.0,53.73,9.73
19.02,26.0,71.52,58.57
25.74,26.0,75.67,7.47
23.16,26.0,51.67,24.81
13.51,26.0,46.75,95.91
27.61,26.0,62.58,0.0
24.18,26.0,75.96,18.13
24.58,26.0,71.03,10.13
14.05,26.0,73.08,88.18
19.21,26.0,61.11,48.76
17.93,26.0,54.4,57.51
26.83,26.0,66.27,0.0
22.3,26.0,53.17,32.28
25.16,26.0,74.05,9.9
19.09,26.0,52.88,53.9
15.64,26.0,56.65,85.34
20.87,26.0,65.26,43.11
13.02,26.0,64.47,94.68
25.24,26.0,69.03,9.01
22.11,26.0,62.5,37.37
24.13,26.0,81.78,19.48
17.67,26.0,78.6,64.1
27.53,26.0,80.16,0.57
26.29,26.0,70.18,1.49
24.45,26.0,70.4,8.95
15.11,26.0,69.37,79.77
19.47,26.0,62.4,51.89
12.7,26.0,57.88,99.12
14.47,26.0,68.68,84.24
22.93,26.0,46.02,30.62
23.92,26.0,45.3,16.23
27.48,26.0,79.07,0.51
17.21,26.0,46.86,65.05
17.93,26.0,65.99,63.86
19.51,26.0,69.6,44.95
15.03,26.0,52.93,84.45
14.08,26.0,80.83,79.33
19.61,26.0,52.6,51.26
15.63,26.0,80.38,78.23
22.72,26.0,75.52,29.33
18.99,26.0,54.63,50.91
25.32,26.0,51.03,5.48
23.2,26.0,57.65,20.55
17.0,26.0,60.92,63.33
25.32,26.0,54.83,8.25
24.88,26.0,84.96,13.21
18.2,26.0,54.19,63.68
16.61,26.0,78.23,71.42
22.92,26.0,51.36,28.32
14.24,26.0,84.21,81.98
15.2,26.0,54.02,78.22
12.12,26.0,61.87,98.37
24.59,26.0,67.34,9.51
22.64,26.0,49.81,27.69
23.28,26.0,77.67,24.5
24.49,26.0,55.99,14.91
19.34,26.0,66.97,63.68
21.1,26.0,66.99,36.1
14.24,26.0,69.11,85.1
13.83,26.0,47.22,86.93
22.69,26.0,51.74,28.74
19.54,26.0,51.45,52.03
21.04,26.0,57.08,44.98
24.24,26.0,50.8,16.07
22.16,26.0,81.88,31.54
20.86,26.0,65.52,41.14
20.95,26.0,69.94,36.73
16.86,26.0,59.3,68.09
12.49,26.0,56.05,97.4
18.99,26.0,65.13,55.81
15.43,26.0,56.77,81.98
18.54,26.0,58.75,58.5
25.65,26.0,63.11,3.43
15.74,26.0,65.23,70.71
12.93,26.0,84.37,92.54
16.5,26.0,53.93,71.06
16.7,26.0,64.52,73.33
22.59,26.0,50.98,35.55
20.91,26.0,59.0,42.15
24.54,26.0,73.69,10.78
22.63,26.0,51.98,30.53
18.5,26.0,68.25,59.65
25.02,26.0,61.67,9.36
14.67,26.0,47.06,84.55
12.36,26.0,82.32,96.37
13.44,26.0,61.54,93.55
23.56,26.0,76.36,20.94
19.39,26.0,61.65,47.4
14.58,26.0,82.49,82.75
20.02,26.0,56.62,46.68
14.44,26.0,61.49,86.34
23.14,26.0,75.35,25.91
19.14,26.0,58.75,48.61
18.1,26.0,59.57,62.46
16.82,26.0,84.79,68.87
22.08,26.0,67.22,35.94
17.79,26.0,72.58,62.99
13.4,26.0,70.74,83.45
13.89,26.0,78.12,90.56
27.39,26.0,79.47,0.0
26.54,26.0,67.53,0.8
23.2,26.0,56.78,23.16
16.25,26.0,45.91,77.12
27.51,26.0,69.58,0.0
24.46,26.0,78.02,13.21
23.47,26.0,63.02,26.34
19.19,26.0,51.59,49.38
16.36,26.0,56.52,70.43
13.54,26.0,65.4,83.26
26.44,26.0,78.47,0.88
19.29,26.0,51.87,60.19
15.24,26.0,69.49,86.45
16.9,26.0,75.13,68.78
21.27,26.0,82.44,36.15
14.83,26.0,49.67,84.3
25.71,26.0,82.06,5.28
24.14,26.0,69.06,12.4
23.51,26.0,75.67,20.54
18.91,26.0,47.15,63.08
22.04,26.0,65.25,30.53
21.35,26.0,69.91,36.21
22.4,26.0,57.27,32.08
13.35,26.0,62.27,93.23
18.65,26.0,67.17,55.37
12.67,26.0,67.1,95.81
19.9,26.0,46.67,53.26
17.28,26.0,62.58,74.07
14.31,26.0,53.55,87.3
13.65,26.0,81.67,86.72
21.4,26.0,84.06,42.68
14.73,26.0,56.99,82.58
26.8,26.0,52.01,1.12
